course_id,department_subject,department_display_subject,department_name,course_number,course_name,section,term_season,term_year,units,instructor,component,available_seats,schedule,location,description,prerequisites
HEDUC597,HEDUC,H EDUC,Health Promotion & Education Noncredit Certificate,597,Advanced EMT,001,Spring,2026,0.0,"Beck, Shelly",Lecture,1,TuTh/06:00PM-10:00PM,HPR W 117,"Expands the EMT-Basic's skills to include advance management of hypoprofusion, airways, and drugs/medications. Utah state certification is possible after successful completion of this class; however, students may take this course for knowledge and experience and not certify.",[]
YESPR58,YESPR,YESPR,Sports and Recreation,58,Shred Into Spring (Age 6-12),001,Spring,2026,0.0,,Lecture,7,Fr/02:30PM-04:30PM Meets from 02/20/2026 to 03/06/2026,SLC UTAH,"Want to learn to skateboard or improve your skills? Come shred with us at skate camp this spring! These camps focus on creating a stoked-filled environment where we facilitate individual growth through group lessons. Campers will set goals, learn tricks, gain confidence, and make new friends! Our team of skate coaches are experienced, knowledgeable, friendly, and work with campers of any skill level. Come join us and face your fears, whether that be pushing on a board, dropping in, or learning more intermediate tricks. Skateboards and protection will be provided. Co-Sponsored with All Together Skatepark.",[]
YESPR58,YESPR,YESPR,Sports and Recreation,58,Shred Into Spring (Age 6-12),004,Spring,2026,0.0,,Lecture,10,Sa/10:00AM-12:00PM Meets from 04/18/2026 to 05/02/2026,SLC UTAH,"Want to learn to skateboard or improve your skills? Come shred with us at skate camp this spring! These camps focus on creating a stoked-filled environment where we facilitate individual growth through group lessons. Campers will set goals, learn tricks, gain confidence, and make new friends! Our team of skate coaches are experienced, knowledgeable, friendly, and work with campers of any skill level. Come join us and face your fears, whether that be pushing on a board, dropping in, or learning more intermediate tricks. Skateboards and protection will be provided. Co-Sponsored with All Together Skatepark.",[]
YEART44,YEART,YEART,Creative Arts,44,Wednesday Art Cafe (Age 7-15),001,Spring,2026,0.0,,Lecture,8,We/04:00PM-06:00PM Meets from 02/04/2026 to 02/04/2026,SLC UTAH,"Welcome to the Wednesday One-Day Art Cafe-Salt Lake City's most imaginative dining-inspired art studio experience! Designed exclusively for kids, this workshop turns art-making into a deliciously fun adventure. Campers will ""order"" from a menu of creative projects, from painting and sculpting to mixed-media masterpieces. Just like at a real cafe, their ""server"" will deliver all the materials they need to bring their ideas to life. When the art feast is over, we'll handle the cleanup so campers can savor every moment of creativity without the mess! Co-Sponsored with Art Cafe SLC.",[]
YEART44,YEART,YEART,Creative Arts,44,Wednesday Art Cafe (Age 7-15),007,Spring,2026,0.0,,Lecture,0,We/04:00PM-06:00PM Meets from 03/25/2026 to 03/25/2026,SLC UTAH,"Welcome to the Wednesday One-Day Art Cafe-Salt Lake City's most imaginative dining-inspired art studio experience! Designed exclusively for kids, this workshop turns art-making into a deliciously fun adventure. Campers will ""order"" from a menu of creative projects, from painting and sculpting to mixed-media masterpieces. Just like at a real cafe, their ""server"" will deliver all the materials they need to bring their ideas to life. When the art feast is over, we'll handle the cleanup so campers can savor every moment of creativity without the mess! Co-Sponsored with Art Cafe SLC.",[]
YEART207,YEART,YEART,Creative Arts,207,Ceramics Studio,002,Spring,2026,0.0,,Lecture,8,Mo/04:00PM-06:00PM Meets from 04/06/2026 to 04/27/2026,SLC UTAH,"Calling all young aspiring artists! Get ready for creativity, fun, and all things ceramics. Join us for an unforgettable journey, where you'll explore the mesmerizing technique of wheel-throwing, create hand built clay pieces, and be introduced to the magical world of glazing. No matter your age or skill level, unleash your creativity and explore the wonderful world of ceramics. Co-Sponsored with Salt Lake Pottery Studio.",[]
YEART207,YEART,YEART,Creative Arts,207,Ceramics Studio,003,Spring,2026,0.0,,Lecture,11,Mo/04:00PM-06:00PM Meets from 05/04/2026 to 05/18/2026,SLC UTAH,"Calling all young aspiring artists! Get ready for creativity, fun, and all things ceramics. Join us for an unforgettable journey, where you'll explore the mesmerizing technique of wheel-throwing, create hand built clay pieces, and be introduced to the magical world of glazing. No matter your age or skill level, unleash your creativity and explore the wonderful world of ceramics. Co-Sponsored with Salt Lake Pottery Studio.",[]
UUHSC6201,UUHSC,UUHSC,Health Sciences Center,6201,Foundations of IPE,001,Spring,2026,0.5,"Rigby, Justin",Lecture,120,,,"This course introduces the foundations of interprofessional collaborative practice. Students will engage in self-directed learning with other disciplines through the exploration of values and ethics for interprofessional practice, roles and responsibilities of health care providers, interprofessional communication strategies, and the development of high functioning teams in health care. This course is designed to provide a framework for deliberately working together with other health professionals to maintain a climate of mutual respect and shared values in today’s complex health care environment, with the common goal of improving patient outcomes.",[]
UUHSC6301,UUHSC,UUHSC,Health Sciences Center,6301,IPE Telemedicine,001,Spring,2026,0.5,"Rigby, Justin",Lecture,35,,,"The goal of interprofessional collaboration and education is to encourage increased knowledge of the roles and responsibilities of other disciplines, and to improve communication and collaboration among disciplines in future work settings (Institute of Medicine, 2011). This interdisciplinary course is designed to prepare students for deliberately working together to improve the safety and quality of the health care utilizing telemedicine technology in rural communities. Through simulation-based patient care management scenarios, health profession students are provided the opportunity to engage in interactive learning with other disciplines using this technology.",[]
UUHSC6601,UUHSC,UUHSC,Health Sciences Center,6601,IPE Medical Error,001,Spring,2026,0.5,"Rigby, Justin",Laboratory,198,,,"The goal of interprofessional collaboration and education is to encourage increased knowledge of the roles and responsibilities of other disciplines, and to improve communication and collaboration among disciplines in future work settings (Institute of Medicine, 2011). This interdisciplinary course is designed to prepare students for deliberately working together to improve the safety and quality of the health care being provided in the ambulatory care setting. Technology is a critical component of interprofessional communication and teamwork. Through simulation-based patient care management scenarios, health professions' students are provided the opportunity to engage in interactive learning with other disciplines Complex patient care management simulations form the basis for these interprofessional education experiences designed to teach the principles of team-based care, communication, patient-centered care and improving patient outcomes. The use of information systems and debriefing methodologies are incorporated to facilitate discussions across disciplines and enhance teamwork. The purpose of this course is to better prepare the future workforce to practice in a team-based environment.",[]
