course_id,department_subject,department_display_subject,department_name,course_number,course_name,section,term_season,term_year,units,instructor,component,available_seats,schedule,location,description,prerequisites
HEDUC575,HEDUC,H EDUC,Health Promotion & Education Noncredit Certificate,575,EMT Recertification,001,Summer,2026,0.0,"Holder, Connie",Lecture,3,Mo-We/11:30AM-03:30PM,HPR W 117,This class is designed for EMT's to review their knowledge of pre-hospital emergency care and practice pre-hospital emergency skills not frequently performed. Verifying skill proficiency and continuing medical education units to apply for State recertification may be achieved with attendance to lectures and practical labs. The new State recertification practical exam may be taken at an additional cost.,[]
HEDUC575,HEDUC,H EDUC,Health Promotion & Education Noncredit Certificate,575,EMT Recertification,002,Summer,2026,0.0,"Holder, Connie",Lecture,3,Mo-We/05:00PM-09:00PM,HPR W 117,This class is designed for EMT's to review their knowledge of pre-hospital emergency care and practice pre-hospital emergency skills not frequently performed. Verifying skill proficiency and continuing medical education units to apply for State recertification may be achieved with attendance to lectures and practical labs. The new State recertification practical exam may be taken at an additional cost.,[]
HEDUC595,HEDUC,H EDUC,Health Promotion & Education Noncredit Certificate,595,EMT Training,001,Summer,2026,0.0,"Holder, Connie",Lecture,0,Mo-We/11:30AM-03:30PM,HPR W 117,"This class prepares students to become knowledgeable and effective pre-hospital emergency care providers. You will be trained in airway and breathing management beyond BLS guidelines, automatic defibrillation of patients in cardiac arrest, recognizing and treating shock, bleeding control and bandaging, fracture management and splinting, spinal immobilization, and proper handling of patients. Upon successful completion of the course, you will be eligible for state and national EMT certification.",[]
HEDUC595,HEDUC,H EDUC,Health Promotion & Education Noncredit Certificate,595,EMT Training,002,Summer,2026,0.0,"Holder, Connie",Lecture,0,Mo-We/05:00PM-09:00PM,HPR W 117,"This class prepares students to become knowledgeable and effective pre-hospital emergency care providers. You will be trained in airway and breathing management beyond BLS guidelines, automatic defibrillation of patients in cardiac arrest, recognizing and treating shock, bleeding control and bandaging, fracture management and splinting, spinal immobilization, and proper handling of patients. Upon successful completion of the course, you will be eligible for state and national EMT certification.",[]
YETEC53,YETEC,YETEC,Computer and Technology,53,Futuristic Imagination (10-12),001,Summer,2026,0.0,"Gardner, Kari",Lecture,0,Tu-Fr/01:00PM-04:00PM Meets from 06/16/2026 to 06/19/2026,CAMPUS .,"This innovative camp introduces students to the fun and practical side of artificial intelligence while teaching them how to use it responsibly. Campers will explore creative projects like generating story ideas, designing art, making games, and even creating mythical lands and creatures. They'll learn how AI can help with grammar checks, homework support, and brainstorming - but also why critical thinking and ethical use matter. From making crossword puzzles and trivia games to turning pets into characters and designing comics, this camp blends imagination with tech skills for a truly unique experience.",[]
YETEC54,YETEC,YETEC,Computer and Technology,54,Machine Learning (Age 9-11),001,Summer,2026,0.0,,Lecture,3,Mo-Th/01:00PM-04:45PM Meets from 06/29/2026 to 07/02/2026,UUCE 249,"This camp introduces students to the fascinating world of artificial intelligence and machine learning. Throughout the week, students will explore how computers recognize patterns, process images, and make decisions similar to real AI systems. They will experiment with creating simple machine-learning models and train them using sounds, images, or movements. Students will observe how their models improve and adapt as new information is introduced, simulating the behavior of a digital brain. To apply their learning, students will integrate AI concepts into creative projects, games, Scratch programming, and interactive designs. All materials and devices will be provided for use in class. Co-sponsored with Future Technology Education.",[]
YETEC54,YETEC,YETEC,Computer and Technology,54,Machine Learning (Age 9-11),002,Summer,2026,0.0,,Lecture,0,Mo-Th/08:45AM-12:30PM Meets from 07/20/2026 to 07/23/2026,UUCE 249,"This camp introduces students to the fascinating world of artificial intelligence and machine learning. Throughout the week, students will explore how computers recognize patterns, process images, and make decisions similar to real AI systems. They will experiment with creating simple machine-learning models and train them using sounds, images, or movements. Students will observe how their models improve and adapt as new information is introduced, simulating the behavior of a digital brain. To apply their learning, students will integrate AI concepts into creative projects, games, Scratch programming, and interactive designs. All materials and devices will be provided for use in class. Co-sponsored with Future Technology Education.",[]
YETEC81,YETEC,YETEC,Computer and Technology,81,Digital Drawing (Age 14-17),001,Summer,2026,0.0,,Lecture,13,Mo-Fr/09:00AM-12:00PM Meets from 06/22/2026 to 06/26/2026,UUCE 249,"Students will get creative in this introductory digital art class. Digital art is the new future for modern illustrations, concept art, comic art, and more. In this class, students will learn to digitally draw and paint using Adobe Creative Suite. They will pick up tricks, tips, and shortcuts to make their digital art come to life. Plus, with their own Wacom tablet or iPad, students can keep practicing their skills at home.",[]
YETEC82,YETEC,YETEC,Computer and Technology,82,Adv Digital Drawing Age 14-17,001,Summer,2026,0.0,,Lecture,11,Mo-Fr/01:00PM-04:00PM Meets from 07/27/2026 to 07/31/2026,UUCE 156,"Students will continue advancing their understanding of digital paint mediums in this advanced digital art course. They will learn more in-depth techniques and tricks to use in digital illustrations. Digital design techniques will also be taught for those aspiring to become future concept artists, environment painters, and character designers. Students should come prepared with their preferred digital drawing gear they may already own.",[]
YETEC83,YETEC,YETEC,Computer and Technology,83,Digital Brushworks (Age 14-17),001,Summer,2026,0.0,,Lecture,16,Mo-Fr/10:00AM-12:00PM Meets from 06/01/2026 to 06/05/2026,HIGHER GR .,"Leaving behind the traditional world of pen and paper, students will learn all the ins and outs of creating paintings digitally. This course combines instruction on foundational painting/drawing skills + snazzy digital techniques so that students can make their ideas a reality. Students are required to bring their own digital drawing tools (either a laptop with a drawing tablet & photoshop, or an iPad with Procreate). Co-sponsored with Higher Ground Learning.",[]
YETEC110,YETEC,YETEC,Computer and Technology,110,Game Animation (Age 14-17),001,Summer,2026,0.0,,Lecture,12,Mo-Fr/09:00AM-12:00PM Meets from 06/22/2026 to 06/26/2026,UUCE 156,"It is time for students to bring their video game character to life. They will discover how personality should affect every inch of a character's movement, from weight to mood. After storyboarding their animation on paper, students will jump into Maya software and learn the techniques required to make animations feel as real as possible. Co-sponsored with Utah Division of Games.",[]
YETEC119,YETEC,YETEC,Computer and Technology,119,Game Design Studio (11-13),001,Summer,2026,0.0,,Lecture,0,Mo-Fr/09:00AM-03:00PM Meets from 07/13/2026 to 07/17/2026,UUCE 156,"Students will take the next step in their game-making journey and start creating games from the ground up. Using the powerful Unreal Engine and guided by Utah Games graduates, they will develop the skills needed to become level designers and gameplay programmers. Students will combine everything they have learned, from coding to design, to build a final prototype in this in-depth, hands-on game development workshop. Co-sponsored with Utah Division of Games.",[]
YETEC123,YETEC,YETEC,Computer and Technology,123,Game Design Studio (14-17),001,Summer,2026,0.0,,Lecture,5,Tu-Fr/09:00AM-04:00PM Meets from 06/16/2026 to 06/19/2026,UUCE 156,"Take the next step in your game making career and start creating games from the ground up. Using the powerful Unreal Engine and taught by Utah Games graduates, you will develop the skills needed to become a level designer and gameplay programmer. Combine everything you have learned, from coding to design, to build a final prototype, in this in-depth, hands-on game development workshop. Co-sponsored with Utah Division of Games.",[]
YETEC124,YETEC,YETEC,Computer and Technology,124,Mechanics Studio (Age 14-17),001,Summer,2026,0.0,,Lecture,10,Mo-Th/09:00AM-04:00PM Meets from 07/20/2026 to 07/23/2026,UUCE 156,"It is time to level up! Students will take what they previously learned and refine their game design skills. With a focus on polish, they will add extra content to their game, such as menus, visual effects, and multiple playable characters. The class will also tackle the most requested additions: custom character models and animations. This course requires previous game design knowledge and Unreal Engine experience. Co-sponsored with Utah Division of Games.",[]
YETEC132,YETEC,YETEC,Computer and Technology,132,Coding Made Easy (Age 7-9),001,Summer,2026,0.0,,Lecture,1,Mo-Fr/09:00AM-12:00PM Meets from 06/08/2026 to 06/12/2026,UUCE 249,"Students will jump into the world of computer science with Scratch, an age-appropriate programming language designed to teach the fundamentals of coding. They will explore graphics, animations, sound, and more as they design their own character and create an environment for it to live in. Students will then give their character a purpose by developing a storyline or gaming objective. Co-sponsored with Utah Division of Games.",[]
YETEC132,YETEC,YETEC,Computer and Technology,132,Coding Made Easy (Age 7-9),002,Summer,2026,0.0,,Lecture,12,Mo-Fr/09:00AM-12:00PM Meets from 07/06/2026 to 07/10/2026,UUCE 249,"Students will jump into the world of computer science with Scratch, an age-appropriate programming language designed to teach the fundamentals of coding. They will explore graphics, animations, sound, and more as they design their own character and create an environment for it to live in. Students will then give their character a purpose by developing a storyline or gaming objective. Co-sponsored with Utah Division of Games.",[]
YETEC132,YETEC,YETEC,Computer and Technology,132,Coding Made Easy (Age 7-9),003,Summer,2026,0.0,,Lecture,9,Mo-Fr/01:00PM-04:00PM Meets from 07/27/2026 to 07/31/2026,UUCE 249,"Students will jump into the world of computer science with Scratch, an age-appropriate programming language designed to teach the fundamentals of coding. They will explore graphics, animations, sound, and more as they design their own character and create an environment for it to live in. Students will then give their character a purpose by developing a storyline or gaming objective. Co-sponsored with Utah Division of Games.",[]
YETEC135,YETEC,YETEC,Computer and Technology,135,Coding with Python (Age 9-11),001,Summer,2026,0.0,,Lecture,3,Mo-Fr/09:00AM-12:00PM Meets from 06/01/2026 to 06/05/2026,UUCE 249,"Python is an easy-to-use yet powerful scripting language utilized by graphic artists and engineers for creating games and websites. Students will learn basic commands and functions, then continue building their projects using Python's advanced features. This course will help students become familiar with this popular and versatile language, whether they are new to coding or looking to enhance their skills. Co-sponsored with Utah Division of Games.",[]
YETEC135,YETEC,YETEC,Computer and Technology,135,Coding with Python (Age 9-11),002,Summer,2026,0.0,,Lecture,1,Mo-Fr/01:00PM-04:00PM Meets from 06/22/2026 to 06/26/2026,UUCE 249,"Python is an easy-to-use yet powerful scripting language utilized by graphic artists and engineers for creating games and websites. Students will learn basic commands and functions, then continue building their projects using Python's advanced features. This course will help students become familiar with this popular and versatile language, whether they are new to coding or looking to enhance their skills. Co-sponsored with Utah Division of Games.",[]
YETEC141,YETEC,YETEC,Computer and Technology,141,3D Modeling: All-Day Age 14-17,001,Summer,2026,0.0,,Lecture,9,Mo-Th/09:00AM-04:00PM Meets from 06/29/2026 to 07/02/2026,UUCE 156,"Students will leave the pen and paper behind and bring their designs into the 3D world. In this intensive modeling workshop, they will create a 3D digital model from their own design, whether it is a character, creature, tool, or vehicle for a video game, machinima, or movie. Students will learn everything from the basics of Maya modeling software through the process of fully realizing their creations. Co-sponsored with Utah Division of Games.",[]
YETEC145,YETEC,YETEC,Computer and Technology,145,Coding with Python (Age 12-14),001,Summer,2026,0.0,,Lecture,6,Mo-Fr/01:00PM-04:00PM Meets from 06/08/2026 to 06/12/2026,UUCE 249,"Python is an easy-to-use yet powerful scripting language utilized by graphic artists and engineers for creating games and websites. Students will learn basic commands and functions, then continue building their projects using Python's advanced features. This course will help students become familiar with this popular and versatile language, whether they are new to coding or looking to enhance their skills. Co-sponsored with Utah Division of Games.",[]
YETEC145,YETEC,YETEC,Computer and Technology,145,Coding with Python (Age 12-14),002,Summer,2026,0.0,,Lecture,11,Mo-Fr/01:00PM-04:00PM Meets from 07/13/2026 to 07/17/2026,UUCE 249,"Python is an easy-to-use yet powerful scripting language utilized by graphic artists and engineers for creating games and websites. Students will learn basic commands and functions, then continue building their projects using Python's advanced features. This course will help students become familiar with this popular and versatile language, whether they are new to coding or looking to enhance their skills. Co-sponsored with Utah Division of Games.",[]
YETEC151,YETEC,YETEC,Computer and Technology,151,Game Design: Arcade Age 9-11,001,Summer,2026,0.0,,Lecture,7,Mo-Fr/01:00PM-04:00PM Meets from 06/08/2026 to 06/12/2026,UUCE 156,"The video games of today owe much to how they were made decades ago. Using Unreal Engine, students will discover what it took to make a great game without realistic graphics and online multiplayer as they program their very own arcade video game. Pulling inspiration from classics like Pac-Man and Space Invaders, they will learn how to create a simple gameplay loop that never grows old. Co-sponsored with Utah Division of Games.",[]
YETEC155,YETEC,YETEC,Computer and Technology,155,Coding with Python Age 14-17,001,Summer,2026,0.0,,Lecture,11,Mo-Fr/09:00AM-12:00PM Meets from 08/03/2026 to 08/07/2026,UUCE 249,This advanced course is designed for students who are ready to go beyond the basics of Python. Students will learn more in-depth coding techniques to help them become productive and efficient programmers. Students will expand their programming skillset and gain the tools needed to write better code and achieve their goals. Co-sponsored with Utah Division of Games.,[]
